ID ( = no data),Continent,ISO code (Code ISO 3166.1),Country,State code,Area,City,Name,2nd name,Latitude (WGS84),Longitude (WGS84),Altitude/Depth (m),Location accuracy (Yes = accurate location),Offshore - Shore distance (km),Manufacturer,Turbine,Hub height (m),Number of turbines,Total power (kW),Developer,Operator,Owner,Commissioning date (Format: yyyy or yyyymm),Status,Update
3325,Europe,DE,Germany,,Offshore,,Breitling,,54.16,12.13,0,Yes,Yes,Nordex,N90/2500,80,1,2500,Nordex/WPD,WPD,WPD,2006/02,Production,13/02/2018
3326,Europe,NL,Netherlands,,Offshore,,Prinses Amalia,Q7,52.5903503,4.2229225,-20,No,Yes (25 km),Vestas,V80/2000,59,60,120000,,Eneco,Eneco,2008/03,Production,13/06/2018
3327,Europe,NL,Netherlands,,Offshore,,Lely,Ijsselmeer,52.8,5.12,-4,Yes,Yes (1 km),NedWind,40/500,39,0,0,Vattenfall,,,1997,Dismantled,26/03/2018
3328,Europe,NL,Netherlands,,Offshore,,Irene Vorrink I,H.v.d.Kroonenberg,52.598,5.588,-3,Yes,Yes,Nordtank,NTK600/43,,19,11400,De Wolff/Vattenfall,Vattenfall,Vattenfall,1996/08,Production,21/03/2018
4205,Europe,SE,Sweden,,Offshore,,Langgrund II,,58.51,17.34,-23,No,Yes,,,,,,,,,,Planned,5/3/2018
4813,Europe,FI,Finland,,Offshore,,Ajos 2-3,,65.666667,24.5,-1,Yes,Yes,Winwind,WWD-3-100,88,0,0,PVO Innopower Oy,,,2008/01,Dismantled,12/6/2018
4814,Europe,FI,Finland,,Offshore,,Ajos 6-7,,65.6584345999999,24.5514826999999,2,Yes,Yes,Winwind,WWD-3-100,88,0,0,PVO Innopower Oy,,,2008/02,Dismantled,12/6/2018
6329,Europe,SE,Sweden,,Offshore,,Utposten II,,61.8,17.5,-47,No,Yes (18 km),,,,,,,,,,Planned,15/01/2018
6353,Europe,GB,United-Kingdom,,Offshore,,Teesside,,54.6476179190564,-1.11648559570312,-10,No,Yes (2 km),Siemens,SWT-2.3-93,80,27,62100,EDF-EN,EDF-EN,EDF-EN,2013/08,Production,16/02/2018
6754,Europe,ES,Spain,,Offshore,,Esdras Canarias,,27.8,-15.4,-50,No,Yes (2 km),,,,,10000,Plocan,Plocan,Plocan,,Planned,19/01/2018
7064,Europe,DK,Denmark,,Offshore,,Horns Rev 2,,55.6,7.582,-10,No,Yes (32 km),Siemens,SWT-2.3-93,68,91,209300,Orsted,Orsted,Orsted,2009/09,Production,29/06/2018
7105,Europe,DE,Germany,,Offshore,,Bard Offshore 1,,54.355,5.98,-40,No,Yes (100 km),Bard,VM,90,80,400000,Bard,Offshore Wind Solutions,Ocean Breeze Energy GmbH,2013/08,Production,13/02/2018
7106,Europe,DE,Germany,,Offshore,,Alpha Ventus,Borkum-Riffgat,53.9091921985205,6.6192626953125,-35,No,Yes (45 km),Areva,M5000-116,92,6,30000,Doti,EWE/E.ON Climate Renewables/Areva,EWE/E.ON Climate Renewables/Vattenfall,2009/12,Production,13/02/2018
